,0,1,2,3,4,5,6,7
0,5,6,7,4,4,9,3,7
1,4,5,4,2,5,7,3,3
2,5,7,5,6,2,6,3,8
3,3,3,5,4,6,8,5,5
4,8,7,7,6,6,11,4,6
5,6,6,3,3,5,6,2,7
6,4,5,3,6,6,3,4,6
7,5,4,8,4,6,10,4,5
8,6,9,9,6,6,10,5,5
9,1,4,6,5,4,8,5,1
10,2,7,8,3,6,8,3,6
11,7,7,7,3,3,5,4,7
12,5,3,3,5,5,6,2,3
13,4,6,3,2,6,5,1,2
14,6,7,6,5,8,7,5,6
15,4,5,6,2,5,8,3,2
16,9,8,6,6,6,9,5,7
17,6,8,11,8,10,12,7,8
18,3,3,3,6,3,4,0,5
19,5,7,6,4,7,9,5,5
20,1,2,2,3,1,3,2,3
21,5,5,7,4,1,7,2,4
22,4,4,6,5,6,5,5,5
23,6,7,6,4,6,10,2,8
24,8,6,7,5,9,6,6,6
25,8,9,9,5,9,9,6,6
26,4,3,3,6,5,4,2,3
27,7,5,6,4,6,9,5,6
28,4,2,5,5,8,9,5,6
29,3,7,8,7,6,8,5,8
30,8,6,11,6,9,8,4,8
31,8,5,9,7,9,6,3,8
32,3,7,8,6,9,10,5,7
33,3,4,6,4,5,8,5,4
34,2,8,6,7,5,9,1,3
35,4,5,6,4,3,4,4,5
36,6,6,6,4,7,10,5,5
37,6,6,6,6,6,9,4,9
38,3,7,10,6,7,11,6,6
39,5,6,7,4,8,11,6,5
40,4,5,10,5,6,6,4,5
41,2,5,5,5,6,7,1,6
42,5,6,9,8,6,7,4,9
43,4,5,6,4,6,8,5,8
44,4,7,4,5,6,8,5,6
45,5,5,6,5,4,9,6,6
46,5,7,8,4,5,7,5,5
47,3,7,4,6,5,8,4,4
48,4,7,7,5,8,8,2,6
49,5,6,10,4,8,6,6,6
50,9,8,10,7,8,11,7,8
51,7,6,9,5,7,8,5,5
52,4,6,7,5,7,9,3,6
53,5,9,6,6,7,12,4,8
54,5,5,10,8,7,8,7,5
55,5,8,10,6,8,9,5,8
56,5,8,9,5,7,14,6,9
57,4,4,8,7,7,9,6,9
58,4,3,9,5,4,6,5,2
59,4,5,7,7,6,11,5,6
60,7,9,11,8,10,12,4,7
61,6,7,7,7,7,9,5,9
62,6,7,10,6,8,12,7,10
63,4,5,8,5,5,8,1,3
64,6,6,11,7,9,13,4,8
65,8,8,10,8,9,9,5,10
66,6,7,11,5,9,10,5,7
