,0,1,2,3,4,5,6,7
0,4,4,4,3,6,3,4,2
1,3,4,6,2,4,6,1,3
2,4,3,6,2,6,8,4,2
3,6,7,5,4,4,5,2,2
4,1,3,5,2,3,3,3,4
5,2,2,5,3,4,8,4,3
6,4,5,6,1,3,8,2,3
7,3,5,3,4,4,3,2,5
8,2,1,3,2,2,3,1,4
9,7,5,3,0,6,4,2,7
10,6,2,3,2,3,4,3,2
11,2,2,5,5,7,9,3,3
12,2,5,5,3,3,6,0,3
13,4,3,4,2,2,3,2,2
14,3,2,4,3,2,7,2,4
15,5,5,6,6,4,6,4,6
16,0,2,6,2,4,5,2,3
17,3,2,1,0,0,2,0,2
18,3,5,5,2,3,1,6,4
19,4,3,5,4,2,5,2,5
20,6,3,8,3,5,7,4,5
21,4,5,3,4,7,6,5,6
22,4,4,4,3,2,6,0,4
23,3,3,5,3,3,3,3,2
24,1,4,3,3,0,8,1,2
25,1,1,3,3,1,5,1,4
26,5,2,0,1,3,9,4,6
27,2,3,6,3,2,3,2,3
28,4,8,7,3,2,5,2,4
29,4,2,2,0,2,4,0,2
30,1,4,1,1,1,5,2,2
31,1,3,2,1,1,8,4,2
32,4,2,4,2,1,4,2,3
33,1,5,3,2,4,4,1,6
34,5,2,6,1,5,4,5,7
35,4,4,5,4,3,10,3,5
36,3,4,6,4,3,4,2,5
37,3,3,4,2,4,5,3,1
38,4,3,2,2,3,3,1,4
39,4,4,4,4,2,3,1,5
40,5,5,2,3,4,7,3,5
41,5,4,4,2,3,6,5,4
42,1,4,3,0,3,6,3,1
43,4,5,6,4,4,6,1,2
44,4,2,8,3,3,6,2,4
45,2,2,3,2,5,0,1,4
46,4,3,3,2,4,7,1,5
47,5,3,6,1,5,5,3,5
48,3,2,4,1,2,4,5,2
49,4,3,2,2,1,7,1,4
50,0,2,2,1,1,3,0,2
51,2,2,2,2,3,4,1,4
52,3,2,5,3,3,5,4,4
53,4,1,4,1,3,2,2,2
54,1,3,2,0,2,6,0,5
55,3,2,2,2,2,5,2,2
56,3,2,1,3,3,0,1,0
57,5,6,4,1,3,5,1,0
58,4,6,3,3,6,8,2,7
59,4,5,3,1,4,1,0,3
60,1,1,0,0,0,2,2,3
61,3,3,4,1,3,5,2,1
62,3,3,2,2,2,2,0,0
63,5,5,4,3,4,3,5,6
64,2,3,1,1,1,1,3,2
65,1,2,2,0,0,5,2,0
66,2,2,1,3,1,4,2,3
