,0,1,2,3,4,5,6,7
0,8,7,7,7,4,2,8,6
1,6,4,3,6,2,3,9,8
2,6,8,5,2,5,4,7,1
3,6,6,3,6,6,5,8,4
4,10,10,7,11,10,6,13,10
5,8,3,4,4,6,3,5,5
6,8,4,6,8,5,1,4,4
7,9,10,5,8,8,4,8,5
8,9,8,6,10,7,5,9,6
9,4,6,4,10,5,4,8,3
10,7,1,5,5,5,3,7,6
11,6,4,3,5,5,3,5,3
12,3,4,0,4,5,1,6,5
13,3,4,2,5,4,4,4,3
14,11,8,7,11,10,6,11,10
15,7,4,5,8,5,1,9,3
16,7,10,8,12,9,5,12,9
17,9,9,8,11,10,6,13,9
18,6,3,2,6,6,2,3,3
19,9,9,8,11,9,5,12,9
20,2,2,2,5,4,0,6,2
21,5,5,5,5,4,2,6,3
22,7,2,5,7,6,5,11,5
23,9,10,8,11,6,4,11,4
24,8,9,6,11,7,5,11,10
25,11,9,7,11,6,4,11,9
26,5,3,3,3,4,2,8,4
27,10,9,8,12,9,6,4,8
28,6,3,4,10,8,6,7,8
29,10,7,7,12,8,6,12,10
30,11,9,7,11,10,6,12,10
31,10,9,8,12,9,6,10,9
32,6,7,5,9,8,5,11,9
33,7,6,6,9,4,4,10,7
34,1,3,4,6,6,3,6,6
35,5,4,4,7,5,4,8,6
36,8,7,6,10,8,4,10,9
37,9,8,7,11,7,6,10,9
38,7,10,7,12,10,6,13,9
39,7,7,4,8,6,5,7,9
40,5,5,8,10,4,3,8,5
41,4,4,7,6,9,2,1,4
42,9,9,8,11,8,6,11,10
43,3,6,5,7,7,6,12,7
44,5,5,5,10,7,4,12,9
45,8,6,5,7,6,2,7,5
46,9,8,6,12,6,5,10,9
47,6,4,4,7,9,4,10,6
48,8,9,6,10,7,4,9,6
49,7,10,7,9,7,6,7,5
50,10,9,7,11,8,6,10,10
51,8,7,6,8,7,4,7,6
52,8,8,5,9,8,5,11,8
53,10,9,8,9,8,6,12,9
54,6,8,7,12,10,6,12,9
55,10,10,7,12,8,5,12,9
56,9,7,8,7,10,6,10,9
57,8,10,7,12,9,6,13,9
58,10,8,8,10,7,4,10,6
59,6,7,6,7,8,6,6,8
60,10,8,6,12,8,5,12,9
61,8,10,7,12,9,6,13,10
62,8,9,7,12,9,6,11,9
63,5,8,5,8,7,5,5,9
64,10,9,6,12,8,6,12,7
65,10,10,7,11,9,4,13,10
66,9,9,7,12,7,5,13,10
