,0,1,2,3,4,5,6,7
0,2,1,1,3,5,4,4,3
1,2,4,3,4,2,2,3,2
2,5,2,2,10,3,2,4,8
3,3,4,2,4,3,1,4,3
4,1,0,1,1,0,0,0,0
5,2,6,4,8,4,3,8,5
6,1,3,2,4,3,3,5,5
7,2,0,3,4,2,2,5,5
8,2,2,1,1,3,1,4,4
9,6,4,4,1,3,2,2,6
10,3,8,3,4,1,2,5,3
11,3,5,5,7,5,3,8,7
12,7,5,6,5,3,3,2,4
13,4,3,3,2,1,2,1,3
14,0,1,1,1,0,0,2,0
15,3,6,3,4,5,4,3,7
16,4,0,0,0,1,1,0,1
17,1,0,0,0,0,0,0,1
18,4,4,4,4,2,2,6,2
19,2,1,0,1,1,1,1,1
20,4,2,5,5,3,4,6,4
21,5,4,3,7,6,4,3,3
22,3,8,3,5,4,1,2,2
23,1,0,0,1,3,0,1,4
24,3,1,2,0,3,1,2,0
25,0,0,0,1,3,1,2,1
26,3,5,4,5,4,4,4,6
27,1,0,0,0,1,0,9,2
28,4,7,4,2,2,0,5,1
29,1,2,0,0,2,0,0,0
30,0,1,1,1,0,0,1,0
31,1,0,0,0,1,0,3,1
32,5,3,3,3,2,1,2,1
33,3,3,2,3,4,0,3,3
34,6,6,4,6,3,3,6,4
35,6,6,4,5,4,2,5,4
36,3,3,2,2,2,2,3,1
37,1,2,1,0,3,0,3,1
38,4,0,1,0,0,0,0,1
39,4,3,4,4,4,0,5,1
40,5,5,0,2,4,2,5,5
41,1,6,1,3,1,3,11,6
42,1,1,0,1,2,0,2,0
43,8,4,3,5,3,0,1,2
44,3,3,2,1,0,2,1,1
45,1,1,2,4,4,2,5,4
46,2,1,2,0,4,1,2,1
47,4,3,4,4,1,2,3,3
48,2,0,1,1,3,1,3,2
49,4,0,1,2,3,0,3,4
50,1,1,1,1,2,0,3,0
51,1,2,2,2,2,2,5,4
52,2,0,3,2,2,1,1,1
53,1,1,0,1,2,0,1,1
54,0,0,1,0,0,0,1,1
55,1,0,1,0,0,0,0,1
56,2,3,0,4,0,0,1,1
57,2,0,1,0,1,0,0,0
58,0,2,0,2,3,2,3,4
59,0,1,2,2,1,0,5,2
60,1,0,1,0,1,0,1,0
61,3,0,1,0,0,0,0,0
62,1,1,1,0,1,0,2,1
63,5,2,3,4,3,1,5,1
64,1,1,2,0,2,0,1,2
65,1,0,1,1,1,1,0,0
66,1,1,1,0,2,0,0,0
