,0,1,2,3,4,5,6,7
0,4887.0,4515.0,4781.0,5124.0,5127.0,4975.0,5448.0,4699.0
1,4897.0,6215.0,4856.0,3197.0,4001.0,1034.0,4445.0,4813.0
2,4870.0,5020.0,5254.0,4565.0,4827.0,4798.0,5117.0,5134.0
3,4933.0,5528.0,4683.0,4734.0,5161.0,4836.0,4461.0,5644.0
4,5045.0,5288.0,4750.0,4608.0,4492.0,5116.0,5370.0,4494.0
5,3916.0,4529.0,5403.0,5166.0,4962.0,5158.0,5224.0,4971.0
6,4335.0,4248.0,5161.0,4409.0,4687.0,4905.0,4841.0,4652.0
7,4720.0,4948.0,5001.0,4958.0,4829.0,6216.0,5193.0,4662.0
8,5173.0,4859.0,5179.0,5242.0,4986.0,5113.0,4896.0,4534.0
9,5443.0,5550.0,5288.0,4664.0,4495.0,5552.0,4733.0,5742.0
10,5273.0,5776.0,4679.0,4022.0,1030.0,4982.0,4936.0,1131.0
11,4577.0,4995.0,4794.0,4543.0,4330.0,4633.0,4581.0,4708.0
12,4463.0,4895.0,4420.0,5688.0,4704.0,4256.0,4718.0,4659.0
13,4963.0,4517.0,4755.0,4873.0,5383.0,4992.0,4439.0,4075.0
14,5618.0,5308.0,4709.0,4262.0,4612.0,4843.0,4795.0,4872.0
15,5276.0,5180.0,4846.0,5727.0,4551.0,5102.0,4438.0,5380.0
16,4616.0,4302.0,5069.0,4605.0,5060.0,4742.0,5620.0,5102.0
17,5367.0,4913.0,5326.0,4811.0,4818.0,5520.0,5509.0,5428.0
18,4805.0,4779.0,5054.0,5352.0,4451.0,4857.0,4672.0,4692.0
19,4606.0,4944.0,4205.0,5299.0,5203.0,5379.0,5178.0,2958.0
20,4332.0,1001.0,3842.0,5071.0,3664.0,4866.0,4530.0,4507.0
21,4981.0,4397.0,4884.0,4723.0,5071.0,5063.0,5076.0,4768.0
22,4879.0,4528.0,5100.0,729.0,2690.0,3207.0,833.0,1034.0
23,4657.0,4634.0,4674.0,4922.0,5125.0,4427.0,5590.0,5398.0
24,4757.0,4481.0,4029.0,4355.0,5360.0,5024.0,4738.0,4774.0
25,5467.0,4779.0,4721.0,4856.0,5102.0,5074.0,4910.0,824.0
26,4887.0,4538.0,4910.0,5370.0,4218.0,4196.0,5063.0,4943.0
27,5333.0,4560.0,4721.0,4529.0,4459.0,4132.0,4327.0,4826.0
28,4640.0,4068.0,4331.0,4848.0,4648.0,3099.0,3606.0,3898.0
29,4426.0,4278.0,4739.0,4819.0,4524.0,4742.0,5185.0,4703.0
30,4137.0,4529.0,4904.0,5441.0,5597.0,4848.0,4707.0,4860.0
31,5085.0,4791.0,5187.0,4531.0,5087.0,4918.0,4860.0,4687.0
32,4982.0,5201.0,4986.0,5411.0,4902.0,5303.0,5177.0,5037.0
33,5002.0,4747.0,4379.0,4468.0,3961.0,4666.0,4062.0,3862.0
34,919.0,4666.0,5214.0,4302.0,928.0,4150.0,4869.0,4611.0
35,5279.0,4911.0,4722.0,4527.0,4324.0,4937.0,4486.0,5035.0
36,3832.0,4311.0,5141.0,4944.0,4566.0,4336.0,4648.0,4266.0
37,4784.0,4472.0,4880.0,4827.0,4740.0,4447.0,4695.0,4444.0
38,5182.0,5131.0,5378.0,4887.0,5025.0,4818.0,4442.0,4998.0
39,4743.0,4648.0,3814.0,694.0,4654.0,5129.0,5660.0,4917.0
40,4857.0,861.0,4587.0,913.0,4574.0,4489.0,4548.0,4305.0
41,5189.0,4342.0,4865.0,3624.0,3880.0,4640.0,5493.0,5297.0
42,5231.0,5515.0,5528.0,4211.0,5504.0,4846.0,5055.0,4480.0
43,4507.0,4163.0,4698.0,4873.0,5082.0,4960.0,4679.0,4151.0
44,5041.0,3871.0,667.0,5748.0,4691.0,5095.0,4813.0,4595.0
45,3770.0,4461.0,4534.0,5077.0,4759.0,4741.0,4439.0,5062.0
46,5501.0,4744.0,5211.0,4923.0,5003.0,5016.0,4986.0,5287.0
47,5363.0,4843.0,5024.0,5362.0,4683.0,5013.0,5111.0,5318.0
48,4889.0,4983.0,4630.0,4780.0,4914.0,4553.0,5207.0,4762.0
49,4662.0,4349.0,4206.0,4602.0,4648.0,4330.0,4282.0,3895.0
50,4797.0,5211.0,5144.0,4373.0,5614.0,5132.0,4493.0,4499.0
51,4490.0,-inf,6311.0,5337.0,5019.0,4555.0,4485.0,5434.0
52,4433.0,4919.0,4789.0,5427.0,5020.0,5373.0,4595.0,5154.0
53,4925.0,4495.0,5059.0,5331.0,5421.0,5102.0,5007.0,5509.0
54,5044.0,5188.0,4897.0,5318.0,4609.0,4883.0,4740.0,5417.0
55,4898.0,4155.0,4726.0,4224.0,5050.0,4618.0,5713.0,3443.0
56,4623.0,4185.0,4525.0,3590.0,4293.0,4247.0,4973.0,4237.0
57,523.0,5168.0,782.0,4097.0,4147.0,4988.0,5546.0,4303.0
58,4835.0,5272.0,4947.0,4893.0,4878.0,5450.0,4789.0,4702.0
59,5144.0,4598.0,5055.0,5473.0,4983.0,5886.0,765.0,5015.0
60,4661.0,4027.0,3904.0,4715.0,4028.0,4707.0,3986.0,3486.0
61,4778.0,5030.0,5537.0,4825.0,4939.0,5336.0,4663.0,5174.0
62,5508.0,5402.0,5123.0,5748.0,5347.0,4934.0,5551.0,5115.0
63,4690.0,5227.0,4556.0,4702.0,5462.0,4571.0,5408.0,5107.0
64,5724.0,4981.0,4874.0,5795.0,4959.0,5202.0,4745.0,5418.0
65,5035.0,5088.0,5474.0,4350.0,4953.0,5362.0,5107.0,4294.0
66,4263.0,4841.0,4330.0,5004.0,5084.0,4370.0,5075.0,4677.0
