,0,1,2,3,4,5,6,7
0,1034.0,1031.0,973.0,863.0,1026.0,647.0,942.0,836.0
1,947.0,959.0,990.0,1132.5,1055.0,929.5,908.5,747.5
2,637.5,613.0,394.0,477.0,235.0,348.0,592.0,406.0
3,836.5,768.0,495.0,549.0,396.0,311.0,461.0,383.0
4,809.0,817.0,933.0,837.0,896.0,845.5,828.0,841.5
5,974.5,966.0,856.5,516.5,685.0,602.5,714.0,801.0
6,948.0,787.0,827.0,784.0,636.0,578.0,665.0,673.5
7,775.0,634.0,649.0,691.0,737.5,724.0,644.0,718.5
8,751.0,655.0,615.0,637.0,655.5,676.0,613.0,597.0
9,711.0,751.0,808.0,1038.5,849.5,663.5,343.0,656.0
10,586.0,610.0,797.0,888.0,910.0,1083.0,881.5,725.0
11,464.0,378.0,380.0,385.0,460.5,504.0,523.5,473.0
12,819.0,889.0,782.0,796.0,803.5,795.0,576.5,743.0
13,884.0,714.0,688.5,494.0,691.0,885.5,657.5,846.5
14,762.5,748.5,673.5,645.5,734.5,677.0,683.0,666.5
15,672.0,616.0,655.0,583.5,570.0,566.0,509.0,685.5
16,722.0,724.5,678.5,667.0,662.5,662.0,616.0,631.0
17,954.0,815.0,730.0,699.0,801.0,723.0,722.0,728.5
18,988.0,1055.0,911.0,924.0,959.0,752.0,831.0,872.0
19,743.5,774.5,731.0,740.0,814.0,674.5,716.5,715.5
20,625.0,857.0,954.0,798.0,857.0,594.0,785.0,764.0
21,859.0,810.0,639.0,705.5,399.0,387.0,596.0,338.0
22,461.5,699.5,959.0,961.0,1086.0,958.0,983.0,849.0
23,879.0,718.0,746.0,716.0,916.5,781.0,695.0,900.5
24,888.0,1028.5,901.0,889.0,855.0,875.0,864.0,741.0
25,980.0,926.0,843.0,744.0,1040.0,973.0,922.5,1062.5
26,456.0,443.0,359.0,708.0,391.0,628.0,513.5,464.0
27,886.0,776.0,924.5,902.0,914.5,775.5,799.5,910.0
28,681.0,907.5,828.0,847.0,784.5,967.5,1084.0,999.0
29,1115.0,1207.5,1311.0,1244.0,1195.0,1133.0,1062.0,1030.0
30,837.5,863.5,878.0,775.0,836.5,796.0,817.0,793.0
31,911.5,896.0,962.0,908.5,977.5,956.5,928.5,896.0
32,653.5,645.0,595.5,556.5,635.5,522.5,543.5,518.5
33,1001.0,1057.5,1071.0,1045.0,1116.0,1020.5,925.0,1160.5
34,429.0,373.0,374.5,559.0,617.0,582.0,516.5,529.5
35,988.0,1057.0,798.0,676.5,714.0,703.5,652.0,610.0
36,915.5,724.5,705.0,665.0,753.5,778.0,640.5,747.0
37,1151.0,1113.0,992.0,837.0,897.5,782.5,754.0,791.5
38,954.0,837.0,786.5,763.5,872.5,829.5,785.0,755.5
39,906.5,739.5,659.0,800.0,785.0,681.0,639.0,589.0
40,508.0,590.5,641.5,761.0,674.5,677.5,832.0,826.0
41,305.0,407.0,514.0,507.5,710.0,585.0,427.5,745.5
42,984.5,913.0,797.5,839.0,836.0,857.0,904.5,809.5
43,995.0,859.0,850.5,881.5,917.5,977.0,875.0,892.0
44,1029.0,982.0,1029.0,946.0,856.0,761.0,838.5,825.5
45,992.5,876.0,1040.0,810.5,786.0,1190.0,888.0,815.0
46,941.5,885.0,736.0,765.5,798.0,627.5,642.5,734.5
47,1108.5,1006.0,999.5,965.0,1052.0,872.0,927.0,775.0
48,979.0,1015.5,1009.5,954.0,1004.0,892.0,953.0,831.5
49,705.0,728.0,791.0,709.0,807.0,689.0,701.0,789.0
50,768.0,781.0,690.5,750.5,756.0,664.5,820.0,677.5
51,1048.5,945.0,872.0,845.0,988.0,875.5,826.0,886.0
52,976.0,823.0,834.5,729.0,722.5,736.0,840.0,880.0
53,984.0,889.5,756.0,776.0,800.5,726.0,713.0,767.5
54,929.5,772.0,706.0,626.0,620.0,589.5,549.0,575.5
55,809.0,923.0,776.0,818.0,767.5,815.0,758.0,742.5
56,865.0,927.0,973.5,1040.0,1035.5,908.0,900.0,1013.0
57,695.0,746.5,723.5,803.5,813.0,930.5,730.5,675.5
58,842.5,943.0,773.5,749.5,865.5,827.0,747.0,750.0
59,997.5,978.0,872.5,903.0,853.0,853.0,762.0,843.0
60,1022.0,1030.5,1027.0,1059.0,983.0,1007.0,939.0,959.0
61,784.0,838.5,806.0,754.0,845.0,813.0,728.0,695.0
62,810.0,793.0,730.0,761.0,773.5,747.0,693.0,817.0
63,799.0,625.5,616.0,703.5,643.0,674.0,709.0,603.0
64,862.0,748.0,669.5,877.0,752.0,718.5,707.5,701.0
65,955.5,963.0,787.0,982.5,869.0,803.0,739.0,750.0
66,932.5,865.0,838.0,791.5,825.0,853.0,707.5,743.5
